year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2005,Tennessee,TN,East South Central,South,5810590,2837860,2972730,37.3,high school graduate (includes equivalency),850743,38874,NA,899717,291110,NA,NA,NA,NA,NA,NA,2637441,114000,583,1978,2.456,0.8971309689960837,0.30737660229995817,0.6926233977000419,0.3946950851222833,electricity,0.3615798793810991,0.5387573801946639,0.0018823986847721808
2005,Texas,TX,West South Central,South,22270165,10997086,11273079,33.2,some college or associate's degree,3460812,42139,NA,3905148,795194,NA,NA,NA,NA,NA,NA,9026011,106000,671,1980,2.791,0.8839004295474491,0.35290266661402253,0.6470973333859775,0.3587177104038539,electricity,0.4053304704945228,0.5352790359102017,0.004268938888293509
2005,Utah,UT,Mountain,West,2427350,1215268,1212082,28.5,some college or associate's degree,386930,47934,NA,246047,47285,NA,NA,NA,NA,NA,NA,873097,167200,665,1979,3.065,0.9070343844956517,0.2944203331359251,0.7055796668640749,0.4786478478336313,utility gas,0.852591583336385,0.09641142072079693,0.001024081704294198
2005,Vermont,VT,New England,Northeast,602290,295893,306397,40.7,bachelor's degree or higher,136234,45686,NA,68793,20696,NA,NA,NA,NA,NA,NA,307345,173400,683,1970,2.421,0.8095950804470546,0.2892193308550186,0.7107806691449814,0.38546909824464365,"fuel oil, kerosene, etc.",0.14222847382698683,0.04114136441273988,0.007897116447302321
2005,Virginia,VA,South Atlantic,South,7332608,3574553,3758055,37.2,bachelor's degree or higher,1615004,54240,NA,728947,184373,NA,NA,NA,NA,NA,NA,3174708,212300,812,1977,2.538,0.9102216644806389,0.3035957515136582,0.6964042484863417,0.4642748246452902,electricity,0.3524598503367838,0.456112909075305,0.002723131355357395
2005,Washington,WA,Pacific,West,6146338,3052792,3093546,36.7,some college or associate's degree,1226602,49262,NA,729470,207478,NA,NA,NA,NA,NA,NA,2651645,227700,741,1977,2.508,0.924133509576131,0.3533704091534944,0.6466295908465056,0.4319956102721141,electricity,0.34757846849221824,0.5166518804117081,0.0030088056433163544
2005,West Virginia,WV,South Atlantic,South,1771750,866032,905718,40.7,high school graduate (includes equivalency),209778,33452,NA,317240,89820,NA,NA,NA,NA,NA,NA,872203,84400,483,1970,2.392,0.8492311996175202,0.24627042994348605,0.753729570056514,0.3240530014228339,utility gas,0.4659782206609406,0.3448053333189326,0.001591733247648852
2005,Wisconsin,WI,East North Central,North Central,5375751,2653937,2721814,37.9,high school graduate (includes equivalency),893199,47105,NA,545650,120273,NA,NA,NA,NA,NA,NA,2498500,152600,643,1969,2.422,0.88836141685011,0.29876494151347266,0.7012350584865273,0.4225523313988393,utility gas,0.6549770203341096,0.13012829956779937,0.002689258419757692
2005,Wyoming,WY,Mountain,West,495226,247262,247964,39.1,some college or associate's degree,76944,46202,NA,46809,11527,NA,NA,NA,NA,NA,NA,235721,135000,537,1973,2.417,0.869396447495132,0.28511967209115086,0.7148803279088491,0.3795249468651499,utility gas,0.6375777685607632,0.17728060116622343,0.0021519018225290946
2006,Alabama,AL,East South Central,South,4599030,2230594,2368436,37.2,high school graduate (includes equivalency),636816,38783,NA,742064,182205,0.472,NA,NA,NA,NA,NA,2110139,107000,573,1977,2.561,0.8511562508441387,0.28216572070612417,0.7178342792938758,0.3739365037089974,electricity,0.34867637904789267,0.5254746784346608,0.0023724178172419823
2006,Alaska,AK,Pacific,West,670053,344757,325296,33.5,some college or associate's degree,111601,59393,NA,70919,19165,0.417,NA,NA,NA,NA,NA,276590,213200,883,1981,2.915,0.8311146462272678,0.3550970514794804,0.6449029485205195,0.3707798546585198,utility gas,0.48434386935678925,0.1024804461496968,0.004558939959456755
