year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2010,Texas,1076596,131512,104740,204485,42786,62777,67798,79498,213748,54770,114482
2010,Utah,94138,12139,12028,17937,2578,5508,5594,9286,16883,3566,8619
2010,Vermont,35753,3797,4020,7533,796,2653,1864,3820,6886,860,3524
2010,Virginia,303697,32038,29837,61204,13670,18084,14426,20608,62364,13406,38060
2010,Washington,303767,29792,29823,62737,12675,20044,11234,25648,63566,14334,33914
2010,West Virginia,130600,10543,10599,31078,5603,7842,5080,10014,29705,6569,13567
2010,Wisconsin,222251,26057,25208,43391,6877,14438,14454,19192,43717,5450,23467
2010,Wyoming,23773,2354,2701,4933,999,1217,878,1443,5604,1208,2436
2011,Alabama,299548,28232,26641,66185,12885,16951,12603,21569,65540,15672,33270
2011,Alaska,24391,2710,2396,5499,1316,1912,1066,1668,4857,1148,1819
2011,Arizona,272631,24166,30333,51728,11394,20504,13950,17426,61146,12830,29154
2011,Arkansas,173440,18533,13743,35856,8417,9564,9642,12479,37861,8384,18961
2011,California,1439602,126722,132454,279743,60521,111279,61409,91937,286062,74378,215097
2011,Colorado,193991,22324,20247,39841,6755,10680,8059,17277,43025,6395,19388
2011,Connecticut,142658,14628,16237,25221,4638,9415,6898,10628,30970,7214,16809
2011,Delaware,38492,4087,3951,6736,1760,2085,1293,3054,10057,1767,3702
2011,Florida,880790,71995,80209,170315,40200,74991,40558,48128,168374,47786,138234
2011,Georgia,454718,44006,45296,88727,18831,22764,24183,39395,96431,22246,52839
2011,Hawaii,55243,4957,6044,11713,2161,5532,1634,3615,7259,2841,9487
2011,Idaho,77681,9276,7374,12632,3765,4648,6396,6295,17199,3706,6390
2011,Illinois,477577,48127,48329,96606,17370,32111,20053,35575,95022,21356,63028
2011,Indiana,311576,35940,33010,60265,8956,16108,17003,24362,72870,11778,31284
2011,Iowa,122973,13479,12978,22492,4248,7054,8145,9570,25447,6468,13092
2011,Kansas,130167,15480,13296,24070,4085,8017,8076,13505,24902,5267,13469
2011,Kentucky,285820,26701,27551,62334,11975,14271,12714,22824,64003,16137,27310
2011,Louisiana,274290,30708,26921,56767,10704,15831,14416,20472,58399,11504,28568
2011,Maine,85783,9119,8561,17752,3840,5033,4350,7507,17749,3020,8852
2011,Maryland,222980,22338,23174,42414,6853,13752,11270,16162,47880,9667,29470
2011,Massachusetts,299375,29000,28601,59609,10909,16717,17578,24833,68169,11941,32018
2011,Michigan,544594,54501,62235,114154,20062,31961,26557,43640,114569,19082,57833
2011,Minnesota,200120,25185,22622,41153,7450,11552,11071,19252,38063,6406,17366
2011,Mississippi,184926,15675,17199,39043,9867,10493,7489,12770,41682,9970,20738
2011,Missouri,311446,32477,29245,65894,12024,17529,14692,23372,74089,12831,29293
2011,Montana,44711,3585,5088,10467,1561,2849,1972,2650,9725,1905,4909
2011,Nebraska,66859,7181,5687,13879,1774,3849,4710,6234,14567,2691,6287
2011,Nevada,99368,9918,7899,20069,5194,5957,3890,7776,22955,4846,10864
2011,New Hampshire,55805,6515,5485,10098,2729,4839,2949,4118,12387,1863,4822
2011,New Jersey,315198,35150,27118,57718,11964,22647,14360,19852,60231,16258,49900
2011,New Mexico,103774,6679,9713,23111,5135,8506,2744,7282,23678,4651,12275
2011,New York,752691,73952,71113,142235,30794,50646,37013,53658,149877,35913,107490
2011,North Carolina,469628,47564,46739,96472,19733,25578,24289,30124,102852,24400,51877
2011,North Dakota,22485,1700,2393,5728,1024,1588,718,1795,4236,731,2572
2011,Ohio,591977,63116,57595,122923,21959,32049,31666,48974,132020,22428,59247
2011,Oklahoma,204672,18914,20945,42217,7987,11633,11052,16158,47187,8988,19591
2011,Oregon,204419,19975,19267,41748,9640,11323,10076,15536,48449,6954,21451
2011,Pennsylvania,639754,67795,68575,123522,19484,38197,31228,53884,137105,22963,77001
2011,Rhode Island,48138,3324,5584,9457,907,3054,2168,3486,11632,2705,5821
2011,South Carolina,236495,17833,21920,49265,11962,14036,11254,14352,53229,14357,28287
2011,South Dakota,31914,2954,3755,5950,1064,2258,1618,3230,5638,1709,3738
2011,Tennessee,388981,32971,33666,84288,18526,21898,18303,29776,89791,18520,41242
2011,Texas,1074532,124892,107529,193006,44729,65607,61981,82441,212362,55037,126948
2011,Utah,96718,13044,11939,17322,2964,5243,5711,10399,18662,2891,8543
