year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2011,Georgia,1581444,202237,278756,43766,28936,31396,38999,43017,31118,21559,177388,276308,62848,71856,54699,55721,54855,54437,53548
2011,Hawaii,216235,19036,28233,7000,10201,7888,9490,7991,5369,5830,17410,27647,11756,15944,9542,8140,7811,8249,8698
2011,Idaho,236591,29459,43177,5327,6757,6048,5630,6407,4559,3934,27078,41351,11385,11298,7954,6651,6572,5577,7427
2011,Illinois,2295477,237799,399231,56043,63639,67411,63518,46444,39012,34044,233543,386690,109832,170547,125625,80195,58721,59379,63804
2011,Indiana,999807,110130,172549,23839,28894,26608,28192,25210,17377,14528,106713,161892,46418,63674,43198,41187,33299,27741,28358
2011,Iowa,470407,45140,71799,13702,14977,14762,18078,15847,10546,10334,45413,71863,21857,26290,18774,19135,15975,15762,20153
2011,Kansas,365102,45270,64808,8077,7802,8434,11348,8525,8252,7679,43196,59691,15280,16051,10451,12059,11664,11595,14920
2011,Kentucky,808762,78106,134572,18679,21840,25945,30940,26259,19035,12037,77676,126851,29840,40978,36519,38730,34113,29564,27078
2011,Louisiana,970027,105425,173049,30200,17760,22065,27246,26809,22005,11886,103761,163194,50042,50670,31353,35210,35835,30649,32868
2011,Maine,301647,18952,37415,11174,14455,13064,15490,10381,9689,8463,18159,33518,14662,22768,20362,16147,11318,12911,12719
2011,Maryland,839031,84641,120749,28392,25766,25335,29038,24334,17092,15401,79847,121072,44584,59318,42082,39761,28803,24049,28767
2011,Massachusetts,1366576,77350,144222,60199,70044,64713,75580,60922,28745,28571,79492,144540,71444,101664,96299,91948,72160,45570,53113
2011,Michigan,1950279,172266,293134,73016,72953,72266,80199,63015,39876,31452,161366,282511,108111,128192,102216,85684,74334,53762,55926
2011,Minnesota,773480,64084,103050,28123,35797,31543,33385,25476,14524,14957,64642,94219,44320,64275,45580,37794,27386,18101,26224
2011,Mississippi,679033,70153,120360,19678,15683,15394,19909,21151,16631,10399,67212,111411,28323,29984,26503,25660,28206,24511,27865
2011,Missouri,867425,98794,140599,19567,23036,23214,28320,23868,18349,13864,87234,136439,41541,48502,32994,37646,32760,29127,31571
2011,Montana,129971,15793,23489,3195,3865,3398,3964,3723,2411,2605,13728,20164,5299,5929,4391,4441,5704,4229,3643
2011,Nebraska,239110,30197,38354,4572,6406,4611,6123,6114,4678,5658,29363,38282,9384,15925,8196,8325,6885,6600,9437
2011,Nevada,317474,34116,48713,6292,8658,9103,12961,8723,9547,6308,34834,47528,13070,16857,16490,10845,9482,12179,11768
2011,New Hampshire,146499,14588,27454,2288,4974,4257,5620,4198,4532,3854,12052,23019,4686,7092,5880,6220,5408,4462,5915
2011,New Jersey,1198643,110637,184126,31476,34911,38088,45187,33475,29736,28664,107385,166986,50251,81678,63213,53815,38401,44592,56022
2011,New Mexico,493109,55579,88119,16567,14434,12459,15910,13027,9269,7485,49566,81707,23612,27029,16614,19407,17231,12206,12888
2011,New York,4282591,314850,537655,187372,184079,168256,196877,150805,95309,74264,302223,521017,235963,290982,253795,255993,196688,144005,172458
2011,North Carolina,1653115,178089,286403,50491,37127,37410,45645,40636,35865,25085,183634,265251,79488,87892,71490,58309,55880,54225,60195
