year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2013,Colorado,269179,3744,8451,53249,21305,29405,2005,8322,65645,28636,48417
2013,Connecticut,186066,1173,4311,30201,13149,23564,1719,4351,41917,18374,47307
2013,Delaware,63024,579,1083,11719,4512,6987,296,2370,17138,6365,11975
2013,Florida,1422283,11035,28196,256502,116617,181173,8091,31230,310372,160359,318708
2013,Georgia,651132,4808,15990,137291,51682,50108,4084,19488,175081,81552,111048
2013,Hawaii,76029,885,1263,11157,6649,10989,421,1483,13402,8832,20948
2013,Idaho,100400,1208,2375,21718,8878,10847,837,2008,21886,12133,18510
2013,Illinois,763936,7321,16921,146143,56783,83549,6288,16522,186151,86557,157701
2013,Indiana,471698,4959,10999,98964,37098,43228,4933,12100,124869,51854,82694
2013,Iowa,170341,962,4577,30138,13709,21096,979,4681,41834,16820,35545
2013,Kansas,174581,1415,3463,32701,12968,20313,1021,5005,42218,18662,36815
2013,Kentucky,412638,4076,9419,97170,33301,32453,2563,10989,120922,44836,56909
2013,Louisiana,357337,3708,9128,77201,31776,29930,1481,9666,90960,41459,62028
2013,Maine,98504,482,2585,22282,6904,10327,361,1743,25401,9244,19175
2013,Maryland,325938,2171,8193,60906,24852,33118,2135,8169,80207,37420,68767
2013,Massachusetts,387741,4838,10266,70867,28411,40472,3307,9300,90790,43491,85999
2013,Michigan,741354,7361,18433,157463,52523,65904,5518,21867,197296,80826,134163
2013,Minnesota,247603,2907,6978,46608,18334,30101,1578,5602,55485,23798,56212
2013,Mississippi,289167,2372,6720,66769,23714,23480,1419,7071,76987,34662,45973
2013,Missouri,457799,4133,13030,99680,34487,41846,3733,11014,119234,49891,80751
2013,Montana,67308,319,1564,13775,5821,7467,252,1278,17805,6222,12805
2013,Nebraska,100813,748,2447,18283,7998,13079,550,1719,23928,10561,21500
2013,Nevada,187614,1911,4720,39078,15937,16287,1173,5753,49574,24030,29151
2013,New Hampshire,78613,784,1498,16933,7535,7260,357,1654,18681,10370,13541
2013,New Jersey,500341,4335,10947,85620,34544,57592,2305,11688,109557,61735,122018
2013,New Mexico,169383,1478,5703,36056,13821,20412,515,5754,39889,18644,27111
2013,New York,1202226,9815,26541,213406,88382,130628,8200,29173,283773,140618,271690
2013,North Carolina,732024,7473,18095,149494,60526,64849,4227,18613,192067,84042,132638
2013,North Dakota,36119,382,910,6679,2452,5056,95,1279,7635,3027,8604
2013,Ohio,814136,6479,21210,175588,59453,80971,6435,20812,209480,88487,145221
2013,Oklahoma,328122,2448,8642,71418,29748,30651,3087,10255,84716,34959,52198
2013,Oregon,280872,1721,6613,61050,22646,29188,1297,7826,69172,30834,50525
2013,Pennsylvania,867049,7584,17480,170040,67262,92095,5554,21678,215457,88891,181008
2013,Rhode Island,65036,825,1859,11351,4213,6800,813,1965,15209,7104,14897
2013,South Carolina,370353,3680,9368,79236,33299,28358,2887,10482,95345,44163,63535
2013,South Dakota,53384,625,1426,11752,4660,6225,247,1510,12168,4183,10588
2013,Tennessee,544297,3328,14589,118763,43104,43528,4432,13575,150528,60786,91664
2013,Texas,1586425,17401,44882,315873,131643,151098,16554,38692,398495,185022,286765
2013,Utah,123324,870,5330,23596,10252,11026,1957,4048,31157,14149,20939
2013,Vermont,40463,427,877,8016,3711,3933,814,1004,9581,3516,8584
2013,Virginia,468281,3711,9534,92189,37957,44910,3250,11330,119035,51430,94935
2013,Washington,435634,3034,12180,91003,35814,41257,3607,12038,103917,49373,83411
2013,West Virginia,211892,1940,5634,50214,18665,18107,1352,4139,57006,23104,31731
2013,Wisconsin,332654,1927,8506,63489,23959,37602,3280,9568,79756,33079,71488
2013,Wyoming,31879,1017,425,6385,2271,3055,266,1516,7934,2874,6136
2014,Alabama,447219,3697,9696,92274,38946,37609,3935,11366,122043,50416,77237
2014,Alaska,37979,319,884,7822,3707,2725,611,1486,10712,4285,5428
2014,Arizona,446005,5472,11301,81424,40104,50120,2295,9152,106672,53476,85989
2014,Arkansas,280843,1844,6769,55019,25007,23731,2937,7868,80422,30572,46674
2014,California,2123026,20292,57325,376053,169808,242709,18034,54676,462573,245686,475870
2014,Colorado,264619,2116,9069,51829,19198,26637,3143,7856,62726,31142,50903
2014,Connecticut,196003,1890,4943,31216,15128,22787,918,4370,45967,22129,46655
2014,Delaware,59466,662,1606,10930,5669,6587,611,1323,15142,6572,10364
2014,Florida,1429790,8878,29984,258417,121189,180887,8107,25953,299304,169281,327790
2014,Georgia,671151,5098,15314,141929,56954,53065,5063,17076,185967,79695,110990
2014,Hawaii,83797,531,2200,14239,7534,11289,687,1581,13413,8572,23751
2014,Idaho,95125,1154,2506,18308,9996,11155,1007,2539,20792,10451,17217
2014,Illinois,758186,6549,15086,134828,63125,80642,5164,16084,176651,93654,166403
2014,Indiana,473975,5011,10154,97915,36399,43191,3986,13983,125301,53267,84768
2014,Iowa,165158,1594,3812,30261,13781,19769,1074,3127,37756,17879,36105
2014,Kansas,185385,1507,5600,35924,15613,17957,1528,5630,45949,19532,36145
2014,Kentucky,431706,2934,10064,103024,37823,33420,1766,9452,124207,45959,63057
2014,Louisiana,367857,3484,8035,78533,28753,29748,2719,9066,100102,46653,60764
2014,Maine,100989,958,1374,23894,8515,9817,339,2284,25526,9206,19076
2014,Maryland,327001,2946,5883,59809,23187,34268,2482,9593,80324,39211,69298
2014,Massachusetts,377753,3020,9299,70104,25362,42832,2124,9165,88517,41085,86245
