year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2011,Missouri,981624,1877,2852,2542,5485,9844,26128,39298,205105,144111,1222,2105,1204,6253,11957,28060,42997,235892,214692
2011,Montana,168407,20,430,172,882,1632,3111,6987,39747,27296,154,452,392,498,1704,2472,6088,40835,35535
2011,Nebraska,269506,597,496,180,1307,1653,4679,9064,56896,44632,453,575,379,902,1996,5062,8777,63274,68584
2011,Nevada,372501,1214,1325,684,1055,3494,6965,13929,92384,57114,457,1439,645,1879,3586,6003,12706,96833,70789
2011,New Hampshire,206922,243,236,216,1756,1977,4852,7423,45641,31284,0,110,419,1640,3425,6056,7243,50208,44193
2011,New Jersey,1281038,2547,3630,2513,5972,9768,21433,37391,259689,206695,2760,4034,1865,5097,9266,22973,40173,315767,329465
2011,New Mexico,319608,539,416,848,2359,1562,8688,11530,71018,49657,349,854,760,2232,2383,7236,11995,83100,64082
2011,New York,2891941,4895,8291,6290,15944,25442,60200,96380,574921,447253,4374,7940,6343,15414,23701,59454,104229,711623,719247
2011,North Carolina,1489540,1595,2297,4615,7364,15499,35719,66071,322909,199683,2196,3062,2676,7485,15110,38127,74366,376996,313770
2011,North Dakota,101660,77,65,285,722,682,1733,2707,22136,18599,64,0,79,177,565,1047,3168,23927,25627
2011,Ohio,1834306,3072,7587,5455,11427,19190,37517,63937,380976,282036,2749,3654,4610,11456,18658,37916,68530,444223,431313
2011,Oklahoma,598425,1494,2252,1075,4450,5434,12210,25344,128800,85463,767,2040,1483,4061,6480,16289,27676,147156,125951
2011,Oregon,616690,377,1206,1970,3014,3695,9971,23442,139720,96486,649,1513,794,2566,3583,12675,20777,153937,140315
2011,Pennsylvania,2180834,2400,4982,3959,11475,18580,44086,76271,436616,352037,2305,5000,4485,12464,23574,46280,72711,510559,553050
2011,Rhode Island,173722,414,359,496,745,1410,4724,5680,32486,27315,52,517,337,1245,3145,4023,7901,39229,43644
2011,South Carolina,785775,1777,2633,2421,4005,9218,21381,36737,172218,101143,1316,2227,1128,5332,8378,22756,40453,200643,152009
2011,South Dakota,129027,193,258,117,442,1212,2157,4573,27705,21961,390,530,479,517,1483,1732,3460,30520,31298
2011,Tennessee,1051212,2328,4810,2733,4833,13288,27951,47300,224544,138332,3801,3315,4396,6888,14447,28749,50974,257349,215174
2011,Texas,3015446,9920,11386,8844,16046,28130,61651,108379,669170,436822,8750,10974,7793,15337,29825,63827,120407,767232,640953
2011,Utah,288825,213,1960,778,2284,2940,5776,7657,63529,47813,354,2107,548,2282,3653,4602,8580,71571,62178
2011,Vermont,107348,216,517,348,450,1079,2215,3376,24064,16039,63,261,371,670,1855,2802,4368,26028,22626
2011,Virginia,1137318,3057,5003,2787,4538,12445,24659,40724,248898,162130,3409,4930,1505,7697,11077,23525,46070,286310,248554
2011,Washington,962221,1151,2311,1742,7010,8906,17384,32038,220507,145903,1324,2249,1782,7119,9344,18535,35436,239155,210325
2011,West Virginia,374683,468,1391,601,2801,5322,14029,25790,76427,50528,21,268,1044,1640,4043,9900,19188,84973,76249
2011,Wisconsin,868134,1617,3218,1554,4786,6014,16645,25933,187922,141072,1883,2854,1745,4973,7410,15962,26080,207361,211105
2011,Wyoming,80184,57,275,380,554,503,1771,2720,19188,12455,562,401,481,267,1063,1351,1802,19920,16434
2012,Alabama,865333,2132,2595,3565,6253,8980,25132,46892,175965,108689,1583,2455,1476,6411,10268,29614,51929,211034,170360
2012,Alaska,70075,30,135,195,682,737,1018,3531,18684,9247,7,110,81,563,359,1324,2972,18940,11460
2012,Arizona,1056921,1333,2817,1833,4984,6359,15783,30746,248275,174301,1692,2908,2270,5288,7084,18333,31151,279483,222281
2012,Arkansas,533486,1319,2704,1743,3564,7465,14269,24150,113357,72414,1189,2041,1450,3364,7515,16391,29085,128838,102628
2012,California,4957813,11529,22594,13038,26249,37655,87919,148206,1069704,797920,10655,25702,12282,23326,35943,76742,167192,1249208,1141949
2012,Colorado,664803,1424,2044,1242,3407,6244,12706,19854,158023,97596,993,2305,1966,3228,6197,11633,21991,174575,139375
