year,state,total,male 4 and under,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 4 and under,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2010,Michigan,363701,1407,6410,10303,75558,47446,65603,903,6118,9008,46464,20913,73568
2010,Minnesota,172205,905,3483,5746,40076,21854,35010,776,2375,3517,16904,9436,32123
2010,Mississippi,115872,421,2811,4188,29235,14111,17856,297,1956,2481,15320,9450,17746
2010,Missouri,230686,927,3923,6075,52536,30570,43522,1082,3543,4815,27378,12971,43344
2010,Montana,48327,175,654,839,10729,7671,10402,0,846,364,5289,2759,8599
2010,Nebraska,71045,274,1458,2855,15629,8920,14683,297,633,1491,6708,3558,14539
2010,Nevada,86724,240,1825,3462,21413,13552,15340,697,694,1600,10210,5192,12499
2010,New Hampshire,44456,89,602,1126,9827,5913,8986,112,424,1152,4788,2342,9095
2010,New Jersey,219553,1437,4384,6269,35063,22480,42365,911,3051,4329,23682,16615,58967
2010,New Mexico,91575,546,1578,3157,19124,13205,16492,387,1341,2194,10686,6648,16217
2010,New York,501306,2971,10042,17121,84806,48407,94608,1920,6557,12662,59493,37945,124774
2010,North Carolina,337585,2651,4245,9103,76622,43121,56159,1763,3914,8969,40748,23579,66711
2010,North Dakota,25524,0,513,1167,5537,3504,5475,88,244,434,2089,1498,4975
2010,Ohio,398459,2339,8979,10163,85634,47228,70494,1049,6178,10367,45625,27129,83274
2010,Oklahoma,176019,886,1882,7017,47974,25048,30204,527,2043,2846,21510,10563,25519
2010,Oregon,178709,1612,2650,6840,41161,25068,30342,1053,1747,5568,22879,9898,29891
2010,Pennsylvania,453691,1784,6029,11092,92461,55543,87326,1578,6381,10277,49424,28977,102819
2010,Rhode Island,35673,72,1053,1322,7405,2914,6813,795,459,636,3219,2301,8684
2010,South Carolina,165820,644,2380,6720,36774,22112,27931,715,1809,3601,22607,11439,29088
2010,South Dakota,32130,0,256,821,6624,4315,7502,0,304,930,2972,1640,6766
2010,Tennessee,256248,1058,4068,8679,62013,34849,40012,1538,3003,5081,30346,16988,48613
2010,Texas,820833,4922,20638,30545,188355,107176,135921,4015,15530,23542,104359,55283,130547
2010,Utah,73872,744,1398,2965,15248,9291,14725,732,1204,2119,7651,4782,13013
2010,Vermont,25777,15,595,577,7191,2962,4663,0,262,746,2253,1484,5029
2010,Virginia,233925,602,2724,6142,52103,30106,39369,957,3198,5277,29232,16705,47510
2010,Washington,259743,1921,3979,8517,58288,35137,46594,1592,3090,6255,32922,16844,44604
2010,West Virginia,106868,49,1426,3164,29348,14495,17768,210,1144,2181,13091,6289,17703
2010,Wisconsin,179378,769,3012,5006,39066,23127,37315,625,3046,3857,17466,9208,36881
2010,Wyoming,24165,75,287,757,6544,3654,4338,0,153,579,2803,1332,3643
2011,Alabama,203451,525,3826,6727,47147,26087,34783,578,1851,4304,27405,13704,36514
2011,Alaska,27045,127,181,789,8522,4711,3486,39,380,556,3677,1830,2747
2011,Arizona,231036,686,4734,8844,40784,28288,49643,2489,3118,6181,27597,15472,43200
2011,Arkansas,143985,1228,2835,5881,31732,22987,22883,337,2541,3939,17731,9236,22655
2011,California,1031403,7069,20852,35768,184913,114429,215633,7938,14201,23755,115600,64090,227155
2011,Colorado,164921,969,2849,4553,38529,21433,29811,909,3358,4248,18732,9894,29636
2011,Connecticut,103597,947,2984,2744,16041,10949,21528,216,1056,1766,12080,6370,26916
2011,Delaware,28210,144,1154,469,4091,4315,4640,209,967,1378,3678,2197,4968
2011,Florida,686564,1890,9937,14923,110261,89895,169425,2065,5877,11806,62761,46178,161546
2011,Georgia,299967,3154,6515,12160,65697,36877,41601,2598,5830,9270,39572,22711,53982
2011,Hawaii,47134,117,1483,1476,8216,5345,10296,359,86,746,4643,2872,11495
2011,Idaho,65061,458,1361,2603,14613,10574,13262,55,470,1090,6649,3194,10732
2011,Illinois,343622,3102,6570,11831,62816,39335,68190,1598,5313,7514,39319,22331,75703
2011,Indiana,237242,582,4020,7842,51221,30917,39963,1528,3576,5600,33042,15549,43402
2011,Iowa,109240,484,1340,3510,21673,13493,22995,185,1700,2509,12522,5474,23355
2011,Kansas,109929,236,2239,3864,26456,13491,20099,696,1034,3478,11967,6953,19416
2011,Kentucky,194852,808,2654,6543,51048,27462,29822,596,2600,4283,25586,12383,31067
2011,Louisiana,190064,1818,4302,8341,46569,24577,27123,1049,2921,5156,25815,12953,29440
2011,Maine,63703,302,705,2249,13414,9835,12040,207,703,1332,6754,3973,12189
2011,Maryland,147848,2218,1758,4758,27837,16487,25954,1420,1762,4615,19196,10805,31038
2011,Massachusetts,199948,1107,4279,5506,34007,21635,39230,492,4300,4532,24068,14149,46643
2011,Michigan,369662,2587,6824,13196,76897,48762,66236,917,4523,10201,43119,23453,72947
2011,Minnesota,173201,1036,2566,5213,37849,24977,35002,470,2780,3559,18841,8955,31953
2011,Mississippi,119043,963,2499,3947,27858,17351,17857,324,920,3324,13995,9381,20624
2011,Missouri,237311,1872,3318,7944,56931,30769,43350,1065,2653,6723,27016,14500,41170
2011,Montana,51958,344,648,2421,12070,7621,10569,495,1016,729,5124,3020,7901
2011,Nebraska,66584,396,888,2309,14567,9088,14379,170,1380,917,7060,3791,11639
2011,Nevada,94161,877,2652,2377,20618,13410,16084,1046,1136,3665,12968,5553,13775
2011,New Hampshire,50342,332,888,1265,11088,6589,9180,0,323,1338,5609,3164,10566
2011,New Jersey,222567,1370,2918,6306,32984,21807,44921,996,3459,3968,24844,16727,62267
2011,New Mexico,90816,425,1722,4402,18879,12265,16832,614,1180,2270,9139,6224,16864
2011,New York,506025,3130,10190,15522,91344,50073,94652,2360,8138,13553,58608,34505,123950
2011,North Carolina,328831,1427,4395,12233,67005,43326,56920,1371,5338,6897,43216,21733,64970
2011,North Dakota,24133,36,47,384,6426,3420,6017,42,293,95,2134,1164,4075
2011,Ohio,415915,2801,8072,10219,87674,51218,73794,1838,5766,10668,51807,28531,83527
2011,Oklahoma,182801,1376,3492,7765,47402,26222,30237,445,2169,5756,19769,11252,26916
2011,Oregon,171094,910,2846,4773,38174,25075,31109,484,1530,5689,19090,9831,31583
2011,Pennsylvania,467269,2675,7272,13629,86277,56967,92904,1695,6542,9907,52570,30021,106810
2011,Rhode Island,34021,157,333,1194,6136,3048,7801,163,309,897,3731,2476,7776
2011,South Carolina,160986,675,1380,5588,34822,23070,27646,673,1746,3862,22709,11100,27715
2011,South Dakota,32710,196,270,1674,7794,4007,6685,182,189,872,2441,1516,6884
2011,Tennessee,264146,1384,4187,7013,64326,35446,40377,1354,4346,5844,34662,19596,45611
2011,Texas,839036,5995,19952,32387,193004,107148,136370,5313,13142,24310,106879,54461,140075
2011,Utah,79448,675,1631,4396,17950,10636,14291,589,1909,2350,7472,4215,13334
2011,Vermont,25992,445,133,316,5996,3428,4840,0,695,772,2925,1661,4781
2011,Virginia,233502,1749,3412,5473,49374,32422,39784,665,3112,4635,27748,16888,48240
2011,Washington,261657,2130,5149,9027,57732,34961,49740,978,4505,5831,31182,13683,46739
2011,West Virginia,105573,120,1607,3652,27091,15928,16246,563,1539,1974,12177,7470,17206
2011,Wisconsin,197545,1122,4415,5525,43986,24377,35579,682,3313,4788,23607,11754,38397
2011,Wyoming,25118,0,212,1387,7445,4632,3985,316,84,483,1865,1396,3313
2012,Alabama,207993,597,4416,5171,48012,30469,34037,458,2891,5565,24628,15389,36360
2012,Alaska,29435,181,199,1077,10131,4089,3909,134,329,1305,4039,1451,2591
2012,Arizona,238640,1261,3875,8147,44126,33679,51878,1705,3364,5394,24577,17135,43499
2012,Arkansas,134357,455,2995,4692,30127,20640,22899,660,2171,3475,13903,11654,20686
2012,California,1070907,5255,20951,35670,182183,125188,218709,6045,15636,27484,118171,79954,235661
2012,Colorado,169353,1981,3168,5514,39309,22076,31560,685,2591,4436,18063,12349,27621
2012,Connecticut,105459,565,2427,3590,19086,11249,21613,425,1532,2535,11519,5909,25009
2012,Delaware,27229,267,123,689,4254,3419,5601,413,242,1037,3676,1643,5865
2012,Florida,703666,1736,8700,15148,116191,97942,162480,1932,7193,11222,68488,51725,160909
2012,Georgia,295609,2972,6917,9588,66093,43897,44415,847,4658,7948,34585,20307,53382
2012,Hawaii,47749,23,694,1220,9262,6385,11668,57,329,1043,4332,3029,9707
2012,Idaho,67297,347,1855,1762,16908,10368,13176,63,567,1259,7610,3198,10184
2012,Illinois,356443,2450,7472,12802,65684,42428,69611,1920,7064,7555,40669,23427,75361
2012,Indiana,243231,1751,4251,7661,54015,33427,39955,1828,3823,4605,31928,16160,43827
2012,Iowa,106644,177,2481,3472,21720,15235,22270,136,1366,2504,10186,6300,20797
2012,Kansas,107059,559,1998,4043,23908,12711,23338,626,1198,2553,12470,6293,17362
2012,Kentucky,196813,336,3194,8100,44412,27840,32228,442,2857,5321,24628,16144,31311
2012,Louisiana,182832,1966,3531,7333,42076,25332,28673,1058,3123,5894,23148,13158,27540
2012,Maine,66303,91,971,2311,13450,9708,13046,364,309,1975,7969,3746,12363
2012,Maryland,151394,482,2319,4788,27364,16542,29797,818,2343,4978,18105,10358,33500
2012,Massachusetts,205815,890,3268,5076,36454,22088,42203,785,2281,5617,23501,14882,48770
2012,Michigan,363542,2636,6540,11389,76707,49575,65875,1549,4934,6524,43082,23933,70798
2012,Minnesota,172301,658,3092,5408,36801,25570,36205,424,3230,4061,17418,9746,29688
2012,Mississippi,116274,1002,2254,3112,29844,16461,18099,321,1964,2513,13854,8568,18282
2012,Missouri,249979,916,4895,8156,54082,35230,45636,943,4054,5499,32245,14062,44261
2012,Montana,45466,35,773,1128,10236,8292,10457,32,98,489,4701,2226,6999
2012,Nebraska,67678,153,949,2614,13890,9711,13577,242,1159,1517,6694,3868,13304
2012,Nevada,92616,851,1344,5078,18698,13820,15336,729,1603,1984,12645,7543,12985
2012,New Hampshire,46590,205,987,2474,9941,6305,8113,279,533,622,5406,2651,9074
2012,New Jersey,219246,634,5593,7732,31428,26201,45793,874,3531,5047,25219,12454,54740
2012,New Mexico,102609,702,2143,4243,22448,13859,19843,211,1615,1896,10269,8183,17197
2012,New York,521414,5017,9698,16979,92377,53190,100920,2920,5570,13896,62479,35223,123145
2012,North Carolina,333203,1877,5165,9874,70381,45435,55428,1417,4904,9313,41042,24045,64322
2012,North Dakota,25219,84,262,908,5724,3934,5350,468,84,348,2496,1381,4180
2012,Ohio,409369,2498,6975,14329,81658,55476,71306,1165,7352,10834,52363,25540,79873
2012,Oklahoma,175560,1686,3065,7171,39842,28602,31089,2144,2374,4158,20271,9711,25447
2012,Oregon,170010,1628,1553,5493,37649,25362,30929,688,1057,4037,20837,10394,30383
2012,Pennsylvania,463346,2287,7068,15300,87841,58470,91322,1760,5555,10562,50898,31387,100896
2012,Rhode Island,34426,0,257,718,7057,3275,7207,92,506,369,4283,2467,8195
2012,South Carolina,171918,1223,2337,4728,35829,26062,27408,593,2228,6035,20654,14662,30159
2012,South Dakota,36511,143,603,1986,7404,5491,7610,123,586,903,3781,1771,6110
2012,Tennessee,258069,775,3428,6344,60505,39274,43835,1217,2571,4368,32592,19683,43477
2012,Texas,852462,7734,21238,38040,188176,114912,139013,4686,15304,23251,108107,57287,134714
2012,Utah,80682,589,1736,3493,15609,11077,16428,869,1287,3064,8550,4889,13091
2012,Vermont,26895,0,344,965,6334,3815,4716,331,167,719,2850,1538,5116
2012,Virginia,220625,1101,3132,6954,43575,31200,42075,666,3125,5419,23992,14205,45181
2012,Washington,259052,2104,4506,7593,60749,36970,48657,969,2978,6005,31531,15001,41989
2012,West Virginia,111058,401,1479,4441,27408,17197,17553,458,1104,2395,13219,8159,17244
2012,Wisconsin,188383,1201,2844,6274,41121,25851,35597,620,2906,3964,19441,11432,37132
2012,Wyoming,24234,173,494,1217,5691,4068,4594,36,144,625,2723,1131,3338
2013,Alabama,197873,180,3402,5271,40855,30802,34394,348,2264,4553,25515,15471,34818
2013,Alaska,28627,265,380,837,8225,4976,3879,95,788,624,2986,2131,3441
2013,Arizona,248080,790,4019,9821,44104,36118,53168,1519,3294,7017,26879,18498,42853
2013,Arkansas,135898,981,1736,4110,29654,24071,24016,496,2133,3635,14564,8926,21576
2013,California,1140151,6559,20118,36941,193197,145917,228394,4003,17908,26310,132445,78927,249432
2013,Colorado,187146,874,3280,6321,41569,28709,33298,567,2230,5272,20931,11967,32128
2013,Connecticut,109469,906,1209,2953,18654,11962,22945,257,2008,1674,12080,7855,26966
2013,Delaware,31326,265,548,1396,5692,3580,5857,0,1167,577,3721,2854,5669
2013,Florida,723392,3462,7391,13517,110258,101498,179303,3324,6605,14945,72059,48469,162561
2013,Georgia,321059,1046,6605,12318,71579,45212,49604,1623,4588,7829,43580,25919,51156
2013,Hawaii,48659,314,1036,1123,7853,6793,10817,0,798,1345,3447,3180,11953
2013,Idaho,70143,247,619,2384,14645,13887,14929,257,919,1439,6951,2967,10899
2013,Illinois,380684,2289,6729,15364,69298,50648,72546,1222,4900,9316,41237,26934,80201
2013,Indiana,261744,1923,3709,7838,58807,37668,43490,1504,3010,6682,32165,18404,46544
2013,Iowa,115062,390,1023,3735,24135,15825,24077,773,1442,3092,11269,7415,21886
2013,Kansas,108304,494,2196,3891,24036,14808,22086,603,728,2189,11038,6194,20041
2013,Kentucky,197178,294,5009,4754,46676,31003,33433,498,2276,4889,24588,13292,30466
2013,Louisiana,179023,1507,4943,6926,43523,28691,27119,1808,2471,3836,21918,11885,24396
2013,Maine,65190,77,880,1510,14491,9610,13225,66,588,964,7160,4196,12423
2013,Maryland,162421,518,2537,5250,30442,19227,28725,539,2569,4034,20862,14383,33335
2013,Massachusetts,224001,1022,3752,7200,35727,28212,42321,1732,3232,5755,26039,14394,54615
